team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
CAR,2008,CAR,2008020011,CAR,FLA,HOME,20081010,Team Level,other,0.3518,0.5,0.6667,67,0.968,0.407,0.071,0.122,0.053,0.81,0.537,0.407,0.407,0.407,1,1,0,2,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0.029,0,0.377,0,0,1,2,2,2,0,0.018,0,0,0.425,0.425,0.425,0.897,0.75,0.025,0.042,0.019,0.12,0.044,0.75,0.75,0.75,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,0,0,1,2,1,1,0,0.015,0,0,0.765,0.765,0.765
CAR,2008,CAR,2008020011,CAR,FLA,HOME,20081010,Team Level,all,0.4392,0.4297,0.4432,3600,26.332,2.978,1.984,5.941,0.941,15.619,11.537,2.913,2.938,2.873,24,15,16,55,6,3,2,4,0,9,17,18,33,6,12,33,25,10,9,28,8,3,1.046,0.996,0.936,2,2,2,55.004,39,39.178,4,0.426,0.631,0.631,2.773,2.723,2.704,35.628,3.802,2.316,8.514,1.146,18.371,13.916,3.743,3.893,3.83,33,16,24,73,4,6,1,3,4,11,21,29,45,4,8,31,27,3,2,37,8,4,1.022,0.989,1.792,0,2,2,73.645,49,49.514,1,0.517,0.863,0.863,3.39,3.467,3.446
CAR,2008,CAR,2008020011,CAR,FLA,HOME,20081010,Team Level,5on5,0.4523,0.4536,0.4559,2603,22.068,1.897,1.583,5.155,0.714,12.629,9.022,1.876,1.857,1.836,19,12,13,44,3,2,1,4,0,7,15,16,28,5,10,26,21,7,6,24,6,1,0.934,0.721,0.241,2,1,0,44.004,31,31.178,4,0.326,0.314,0.314,1.909,1.859,1.844,27.077,2.297,1.698,6.676,0.904,14.343,11.08,2.242,2.388,2.329,24,13,16,53,2,5,1,2,3,10,15,22,35,4,8,24,22,2,1,27,8,2,0.752,0.989,0.556,0,2,0,53.645,37,37.514,0,0.344,0.787,0.787,1.855,1.931,1.914
CAR,2008,CAR,2008020011,CAR,FLA,HOME,20081010,Team Level,4on5,0.0015,0.0588,0.1,607,0.3,0.001,0.01,0.01,0.01,0.01,0.959,0.001,0.001,0.001,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,3,3,3,0,1,0,0,0.001,0,0,0,0,0,1,1,1,0,0.002,0,0,0.003,0.003,0.003,6.927,0.645,0.572,1.684,0.203,3.67,2.226,0.641,0.645,0.641,6,3,7,16,1,1,0,0,1,0,6,5,8,0,0,5,2,0,1,8,0,1,0.159,0,0.485,0,0,1,16,9,9,1,0.153,0.077,0.077,0.721,0.721,0.717
CAR,2008,CAR,2008020011,CAR,FLA,HOME,20081010,Team Level,5on4,0.8595,0.8,0.7143,323,2.995,0.673,0.32,0.654,0.164,2.17,1.019,0.629,0.673,0.629,3,2,3,8,2,1,1,0,0,1,1,1,3,0,0,3,1,0,3,2,2,1,0.081,0.275,0.317,0,1,1,8,5,5,0,0.08,0.317,0.317,0.436,0.436,0.432,0.727,0.11,0.021,0.111,0.02,0.238,0.565,0.11,0.11,0.11,2,0,0,2,0,0,0,1,0,1,0,2,2,0,0,2,3,1,0,2,0,0,0.11,0,0,0,0,0,2,2,2,0,0.005,0,0,0.05,0.05,0.05
CAR,2008,CAR,2008020023,CAR,T.B,AWAY,20081011,Team Level,other,0.5206,0.5,0.5,363,7.035,0.556,0.476,1.582,0.204,3.733,3.515,0.553,0.556,0.553,6,5,2,13,1,0,0,3,0,3,4,5,10,0,0,8,1,1,1,10,0,1,0.293,0,0.263,1,0,0,13,11,11,0,0.138,0,0,0.628,0.628,0.625,7.977,0.512,0.505,2.025,0.25,4.176,3.532,0.501,0.512,0.501,7,4,2,13,1,1,0,2,0,1,6,6,10,1,2,9,2,0,3,9,1,1,0.204,0.106,0.202,0,1,0,13,11,11,1,0.127,0.202,0.202,0.437,0.437,0.427
CAR,2008,CAR,2008020023,CAR,T.B,AWAY,20081011,Team Level,all,0.6495,0.582,0.59,3876,41.389,4.245,2.645,9.467,1.273,21.784,18.652,4.169,4.26,4.184,46,13,12,71,4,4,1,14,0,18,19,42,55,7,14,31,16,4,7,49,5,5,1.236,0.584,2.425,2,0,2,69.9,59,58.41,2,0.642,1.288,1.288,3.534,3.554,3.514,28.162,2.291,1.943,6.249,0.906,16.654,12.957,2.243,2.277,2.229,29,12,10,51,3,2,1,8,0,14,14,26,38,9,18,40,20,4,13,30,8,3,0.824,0.798,0.669,1,1,1,51.448,41,41.117,9,0.446,0.462,0.669,2.068,2.051,2.01
CAR,2008,CAR,2008020023,CAR,T.B,AWAY,20081011,Team Level,5on5,0.6332,0.619,0.6346,2473,23.539,1.645,1.471,5.839,0.759,12.896,10.391,1.605,1.66,1.62,29,4,6,39,1,2,0,9,0,11,10,28,32,4,8,12,14,2,5,27,5,1,0.801,0.584,0.259,1,0,0,37.9,33,32.41,2,0.3,0.373,0.373,1.571,1.592,1.558,12.79,0.953,0.842,2.833,0.399,7.914,6.059,0.939,0.94,0.925,13,6,5,24,1,1,1,4,0,8,5,12,18,5,10,22,17,2,8,15,3,1,0.425,0.269,0.26,0,0,1,24.448,19,19.117,7,0.172,0.26,0.26,0.865,0.848,0.837
CAR,2008,CAR,2008020023,CAR,T.B,AWAY,20081011,Team Level,4on5,0.0785,0.2353,0.2308,498,1.762,0.07,0.06,0.233,0.053,0.445,2.138,0.07,0.07,0.07,2,1,1,4,0,0,0,1,0,1,1,2,3,2,4,5,1,0,0,3,0,0,0.07,0,0,0,0,0,4,3,3,0,0.014,0,0,0.084,0.084,0.084,6.51,0.822,0.59,1.362,0.244,4.426,2.556,0.799,0.822,0.799,8,2,3,13,1,0,0,2,0,5,2,7,9,2,4,4,0,0,1,5,4,1,0.192,0.424,0.207,1,0,0,13,10,10,0,0.145,0,0.207,0.76,0.76,0.741
CAR,2008,CAR,2008020023,CAR,T.B,AWAY,20081011,Team Level,5on4,0.9985,0.9375,0.9231,542,9.053,1.974,0.639,1.812,0.257,4.71,2.608,1.941,1.974,1.941,9,3,3,15,2,2,1,1,0,3,4,7,10,1,2,6,0,1,1,9,0,3,0.072,0,1.902,0,0,2,15,12,12,0,0.191,0.915,0.915,1.25,1.25,1.248,0.886,0.003,0.006,0.029,0.014,0.138,0.81,0.003,0.003,0.003,1,0,0,1,0,0,0,0,0,0,1,1,1,1,2,5,1,2,1,1,0,0,0.003,0,0,0,0,0,1,1,1,1,0.002,0,0,0.005,0.005,0.005
